politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
184319,Denis Pauli,AfD,Bauingenieur,1978.0,,m,,0.8039435,-8.369213
145700,Andreas Paul,AfD,Offizier,1978.0,,m,Staatl. gepr. Betriebswirt,0.8058645,-8.392802
175374,Luigi Pantisano,Die Linke,,1979.0,,m,Dipl.-Ing. Architekt und Stadtplaner,-10.304693,4.5786133
136381,Christos Pantazis,SPD,MdB,1975.0,Dr.,m,Arzt,5.3166122,3.6488178
79108,Florian Oßner,CDU/CSU,MdB,1980.0,,m,Diplom-Volkswirt (Uni),5.334502,3.6014059
145808,Gerold Otten,AfD,MdB,1955.0,,m,Oberst d.R. a.D.,0.70730525,-8.132763
175593,Karoline Otte,BÜNDNIS 90/­DIE GRÜNEN,MdB,1996.0,,f,Kreisinspektorin,-5.7856317,5.102046
145890,Josef Oster,CDU/CSU,MdB,1971.0,,m,Diplom-Verwaltungswirt (FH),5.3075223,3.6102293
146867,Josephine Ortleb,SPD,MdB,1986.0,,f,Fachwirtin im Gastgewerbe,5.249903,3.59804
182887,Harald Orthey,CDU/CSU,,,,m,Verwaltungsbetriebswirt,5.313731,3.5854397
175848,Florian Oest,CDU/CSU,,1987.0,,m,Master of Business Administration,5.329947,3.6021957
79106,Wilfried Oellers,CDU/CSU,MdB,1975.0,,m,Rechtsanwalt,5.275309,3.5806806
79103,Omid Nouripour,BÜNDNIS 90/­DIE GRÜNEN,MdB,1975.0,,m,,-5.8367834,5.0553136
78819,Konstantin von Notz,BÜNDNIS 90/­DIE GRÜNEN,MdB,1971.0,Dr.,m,Jurist,-5.2981524,4.7381306
145764,Jan Ralf Nolte,AfD,MdB,1988.0,,m,Kaufmännischer Assistent für Fremdsprachen und Bürokommunikation,0.7086025,-8.234105
110154,Iris Nieland,AfD,Mitglied des Deutschen Bundestages,1960.0,,f,Bankkauffrau,-0.10712678,-8.623539
121794,Ophelia Nick,BÜNDNIS 90/­DIE GRÜNEN,MdB,1973.0,Dr.,f,Tierärztin,-5.779078,5.146927
184031,Charlotte Neuhäuser,Die Linke,,1998.0,,f,,-9.222162,6.4273415
175916,Edgar Naujok,AfD,Unternehmer,1960.0,,m,DV Kaufmann,2.7972186,-9.45419
175484,Rasha Nasr,SPD,MdB,1992.0,,f,Politikwissenschaftlerin,5.2824492,3.5866997
175643,Sara Nanni,BÜNDNIS 90/­DIE GRÜNEN,MdB,1987.0,,f,Friedens- und Konfliktforscherin,-5.833374,5.3499246
130574,Stefan Nacke,CDU/CSU,MdB,1976.0,Dr.,m,"Sozialethiker, Dr. phil.",5.304916,3.5900958
78838,Rolf Mützenich,SPD,MdB,1959.0,Dr.,m,Poltikwissenschaftler,5.3159165,3.40716
145795,Sebastian Münzenmaier,AfD,"MdB, Fraktionsgeschäftsführer",1989.0,,m,,0.7084321,-8.286818
145867,Sepp Müller,CDU/CSU,MdB,1989.0,,m,diplomierter Bankbetriebswirt,5.2894635,3.603452
146018,Sascha Müller,BÜNDNIS 90/­DIE GRÜNEN,MdB,1970.0,,m,Sportjournalist,-5.795171,5.209026
175894,Florian Müller,CDU/CSU,MdB,1987.0,,m,Bachelor of Arts Arbeitsmarktmanagement und Master of Arts,5.314474,3.596563
