fraktion,wort,tfidf,rang
SPD,überprüfung verfassungsmäßigkeit,0.000103,10
SPD,spd-bundestagsfraktion,7.7e-05,11
SPD,blick oben,7.4e-05,12
SPD,oben beschrieben,7e-05,13
SPD,stefanie hubig,7e-05,14
SPD,bleiben allerdings,7e-05,15
SPD,flug deutschland,7e-05,16
SPD,soldatin,6.9e-05,17
SPD,soldatin soldat,6.9e-05,18
SPD,kabinettsmitglied,6.8e-05,19
SPD,entscheidung blick,6.6e-05,20
SPD,auftreten deutschland,6.6e-05,21
SPD,gut ortskraft,6.6e-05,22
SPD,ortskraft bedroht,6.6e-05,23
SPD,bedroht menschenrechtsverteidigerin,6.6e-05,24
SPD,endlich lange,6.6e-05,25
SPD,einreise deutschland,6.6e-05,26
SPD,setzen zusammenspiel,6.6e-05,27
SPD,verfassungsmäßigkeit,6.5e-05,28
SPD,unterstützungsoption,6.2e-05,29
SPD,gesamtgrupp,6.2e-05,30
SPD,parteispitze,6.2e-05,31
SPD,werten besucherin,6.2e-05,32
SPD,menschenrechtsverteidigerin menschenrechtsverteidig,6.2e-05,33
SPD,aufnahmezusage pakistan,6.2e-05,34
SPD,investieren zusammenhalt,6.2e-05,35
SPD,aufnehmen jeweils,6.2e-05,36
SPD,jeweils inklusive,6.2e-05,37
SPD,inklusive familienangehörige,6.2e-05,38
SPD,familienangehörige stehen,6.2e-05,39
SPD,stehen oktober,6.2e-05,40
SPD,oktober befinden,6.2e-05,41
SPD,befinden insgesamt,6.2e-05,42
SPD,insgesamt afghanisch,6.2e-05,43
SPD,pakistan ihnen,6.2e-05,44
SPD,ihnen person,6.2e-05,45
SPD,person ortskraft,6.2e-05,46
SPD,ortskraft angehörige,6.2e-05,47
SPD,angehörige ortskraft,6.2e-05,48
SPD,ortskraft person,6.2e-05,49
SPD,person teil,6.2e-05,50
SPD,teil menschenrechtsliste,6.2e-05,51
SPD,menschenrechtsliste person,6.2e-05,52
SPD,aufnahmezusage rahmen,6.2e-05,53
SPD,rahmen überbrückungsprogramm,6.2e-05,54
SPD,überbrückungsprogramm rahmen,6.2e-05,55
SPD,rahmen bundesaufnahmeprogramm,6.2e-05,56
SPD,wiederholt deutlich,6.2e-05,57
SPD,aufnahmezusage tatsächlich,6.2e-05,58
SPD,aufnehmen unabhängig,6.2e-05,59
SPD,unabhängig zugehörigkeit,6.2e-05,60
SPD,zugehörigkeit vier,6.2e-05,61
SPD,vier programm,6.2e-05,62
SPD,programm gebieten,6.2e-05,63
SPD,gebieten verantwortung,6.2e-05,64
SPD,verantwortung bedroht,6.2e-05,65
SPD,bedroht mensch,6.2e-05,66
SPD,teil selbstverständnis,6.2e-05,67
SPD,selbstverständnis verlässlich,6.2e-05,68
SPD,verlässlich verbindlich,6.2e-05,69
SPD,verbindlich auftreten,6.2e-05,70
SPD,inzwischen bestätigen,6.2e-05,71
SPD,bestätigen person,6.2e-05,72
SPD,person rechtsgültig,6.2e-05,73
SPD,rechtsgültig aufnahmezusage,6.2e-05,74
SPD,aufnahmezusage abschluss,6.2e-05,75
SPD,abschluss sicherheitsinterview,6.2e-05,76
SPD,sicherheitsinterview deutschland,6.2e-05,77
SPD,deutschland stützen,6.2e-05,78
SPD,stützen urteil,6.2e-05,79
SPD,berlin zählen,6.2e-05,80
SPD,zählen bmi,6.2e-05,81
SPD,bmi allerdings,6.2e-05,82
SPD,allerdings begünstigen,6.2e-05,83
SPD,begünstigen bundesaufnahmeprogramm,6.2e-05,84
SPD,bundesaufnahmeprogramm gruppe,6.2e-05,85
SPD,gruppe person,6.2e-05,86
SPD,aufnahmezusage absatz,6.2e-05,87
SPD,aufenthaltsgesetz besitzen,6.2e-05,88
SPD,besitzen gruppe,6.2e-05,89
SPD,gruppe planen,6.2e-05,90
SPD,planen jahresende,6.2e-05,91
SPD,jahresende einreise,6.2e-05,92
SPD,landen erstmals,6.2e-05,93
SPD,erstmals regierungswechsel,6.2e-05,94
SPD,regierungswechsel charterflug,6.2e-05,95
SPD,charterflug erfurt,6.2e-05,96
SPD,erfurt mensch,6.2e-05,97
SPD,lange zugesagt,6.2e-05,98
SPD,zugesagt aufnahme,6.2e-05,99
SPD,aufnahme erreichen,6.2e-05,100
