politician_id,name,party,occupation,year_of_birth,field_title,sex,education
79349,Kerstin Griese,SPD,"MdB, Parlamentarische Staatssekretärin",1966.0,,f,Historikerin
79326,Sebastian Hartmann,SPD,MdB,1977.0,,m,Organisationsberater
131019,Svenja Schulze,SPD,Bundesministerin für Wirtschaftliche Zusammenarbeit und Entwicklung und MdB,1968.0,,f,Germanistin und Politikwissenschaftlerin (Magister) und Unternehmensberaterin
79272,Hubert Hüppe,CDU/CSU,Rz,1956.0,,m,Diplom-Verwaltungswirt (FH)
79070,Kerstin Radomski,CDU/CSU,MdB,1974.0,,f,Lehrerin für Biologie und Erdkunde
145876,Oliver Vogt,CDU/CSU,MdB,1977.0,Dr.,m,Diplom-Physiker
130574,Stefan Nacke,CDU/CSU,MdB,1976.0,Dr.,m,"Sozialethiker, Dr. phil."
145877,Kerstin Vieregge,CDU/CSU,MdB,1976.0,,f,Betriebswirtin
145873,Michael Breilmann,CDU/CSU,Mitglied des Deutschen Bundestags,1983.0,,m,Jurist
175836,Catarina dos Santos-Wintz,CDU/CSU,MdB,1994.0,,f,Juristin
78958,Astrid Timmermann-Fechter,CDU/CSU,MdB,1963.0,,f,Selbstständige Unternehmerin
130691,Serap Güler,CDU/CSU,MdB,1980.0,,f,Studium Germanistik und Kommunikation
66273,Bernd Baumann,AfD,MdB,1958.0,Dr.,m,Promotion Wirtschaftswissenschaften
66565,Zaklin Nastić,BSW,MdB,1980.0,,f,Studium in Slawistik
79471,Niels Annen,SPD,MdB,1973.0,,m,"BA Geschichte und Spanisch, M.A. International Public Policy"
66002,Christoph de Vries,CDU/CSU,MdB,1974.0,,m,Diplom-Soziologe
66005,Christoph Ploß,CDU/CSU,MdB,1985.0,Dr.,m,Historiker
121017,Claudia Müller,BÜNDNIS 90/­DIE GRÜNEN,MdB,1981.0,,f,Betriebswirtschaft
122336,Ina Latendorf,Die Linke.,Mitglied des Bundestags,1971.0,,f,Juristin
79454,Dietmar Bartsch,Die Linke.,MdB,1958.0,Dr.,m,Wirtschaftswissenschaftler
123546,Ulrike Schielke-Ziesing,AfD,MdB,1969.0,,f,Verwaltungswirt
123532,Enrico Komning,AfD,MdB,1968.0,,m,Fachanwalt
123559,Leif-Erik Holm,AfD,MdB,1970.0,,m,Ökonom M. Sc.
165049,Simone Borchardt,CDU/CSU,MdB | gesundheitspolitische Sprecherin der CDU/CSU-Bundestagsfraktion,1967.0,,f,Master of Health Business Administration
79123,Dietrich Monstadt,CDU/CSU,MdB,1957.0,,m,Rechtsanwalt
145862,Philipp Amthor,CDU/CSU,MdB,1992.0,,m,Jurist
138463,Esra Limbacher,SPD,Mdb,1989.0,,m,Jurist
79477,Christian Petry,SPD,MdB,1965.0,,m,Dipl. Verwaltungswirt
146867,Josephine Ortleb,SPD,MdB,1986.0,,f,Fachwirtin im Gastgewerbe
79465,Thomas Bareiß,CDU/CSU,MdB,1975.0,,m,Dipl. Betriebswirt (BA)
145896,Axel Müller,CDU/CSU,MdB,1963.0,,m,
175888,Volker Mayer-Lay,CDU/CSU,MdB,1981.0,,m,Jurist
79062,Josef Rief,CDU/CSU,MdB,1960.0,,m,Landwirtschaftsmeister
79480,Ronja Kemmer,CDU/CSU,MdB,1989.0,,f,Volkswirtin
118138,Annette Widmann-Mauz,CDU/CSU,"MdB, Staatsministerin a.D.",1966.0,,f,
79397,Michael Donth,CDU/CSU,MdB,1967.0,,m,Dipl.-Verwaltungswirt (FH)
108783,Felix Schreiner,CDU/CSU,MdB,1986.0,,m,
78867,Andreas Jung,CDU/CSU,MdB,1975.0,,m,Rechtsanwalt
79378,Thorsten Frei,CDU/CSU,MdB,1973.0,,m,Jurist
175867,Maria-Lena Weiss,CDU/CSU,MdB,1981.0,Dr.,f,Juristin
