politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,date_start,date_end,category,topics
78865,Mitglied des Beirates (bis 30.04.2025),,DEUTSCHE ROCKWOOL GmbH & Co. KG,4,19040.0,2,1678740621,,,29228,"Raumordnung, Bau- und Wohnungswesen|Wirtschaft"
78865,Rechtsanwalt (ruhend seit 01.05.2025),,Muth & Partner Wirtschaftsprüfer Steuerberater Rechtsanwälte mbH,,,,1678740533,,,29647,Recht
79322,"Mitglied des Präsidiums, ehrenamtlich (bis 05.05.2025)",,Förderverein Universität Duisburg-Essen e.V.,,,,1678739637,,,29230,"Bildung und Erziehung|Wissenschaft, Forschung und Technologie"
79322,Mitglied des Risikoausschusses (bis 05.05.2025),,Sparkasse Essen,,,,1678739430,,,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79322,Mitglied des Hauptausschusses (bis 05.05.2025),,Sparkasse Essen,,,,1678739408,,,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
79322,"Mitglied des Haushaltskontroll- und Prüfungsausschusses, ehrenamtlich (bis 18.12.2025)",,Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin),,,,1678739021,,,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Staat und Verwaltung"
79465,"Präsident, ehrenamtlich",,Deutsche Orient-Stiftung,,,,1678454751,,,29230,Außenpolitik und internationale Beziehungen
146813,"Mitglied des Senats, ehrenamtlich",,Wissenschaftsgemeinschaft Gottfried Wilhelm Leibniz e.V.,,,,1678373271,,,29230,"Wissenschaft, Forschung und Technologie"
146813,"Mitglied des Politischen Beirates, ehrenamtlich",,Wirtschaftsforum der SPD e.V.,,,,1678373194,,,29230,"Politisches Leben, Parteien|Wirtschaft"
146813,"Mitglied des Stiftungsrates, ehrenamtlich",,Stiftung Kinder forschen (vormals Stiftung Haus der kleinen Forscher),,,,1678372984,,,29230,"Gesellschaftspolitik, soziale Gruppen|Bildung und Erziehung|Wissenschaft, Forschung und Technologie"
146813,"Mitglied des Hochschulrates, ehrenamtlich",,Vietnamesisch-Deutsche Universität (VGU),,,,1678372715,,,29229,Außenpolitik und internationale Beziehungen|Bildung und Erziehung
79405,Mitglied des Kuratoriums,,Deutsche Bundesstiftung Umwelt (DBU),,,,1678371028,,,29230,Umwelt
79405,Stellv. Mitglied des Kuratoriums,,KENFO – Fonds zur Finanzierung der kerntechnischen Entsorgung,,,,1678370965,,,29229,"Wissenschaft, Forschung und Technologie|Energie|Öffentliche Finanzen, Steuern und Abgaben"
79434,"Berater der Kommission für gesellschaftliche und soziale Fragen, ehrenamtlich",,Deutsche Bischofskonferenz,,,,1678354942,,,29229,"Gesellschaftspolitik, soziale Gruppen"
79032,Mitglied des Kreistages,,Landkreis Aurich,,,,1678182463,,,29229,Staat und Verwaltung
78919,"Mitglied des Kreistages, ehrenamtlich",,Landkreis Schweinfurt,,,,1677834325,,,29229,Staat und Verwaltung
78919,Rechtsanwältin,,Rechtsanwältin - freiberuflich,,,,1677834238,,,29647,Recht
78958,"Mitglied des Stiftungsausschusses, ehrenamtlich ",,Sparkasse Mülheim an der Ruhr,,,,1677833656,,,29229,Finanzen
78958,"Mitglied des Bilanzprüfungsausschusses, ehrenamtlich ",,Sparkasse Mülheim an der Ruhr,,,,1677833640,,,29229,Finanzen
78958,"Mitglied des Verwaltungsrates, ehrenamtlich ",,Sparkasse Mülheim an der Ruhr,,,,1677833587,,,29229,Finanzen
78996,"Vorsitzende des Kuratoriums, ehrenamtlich ",,Elly Heuss-Knapp Stiftung - Deutsches Müttergenesungswerk,,,,1677771311,,,29230,"Gesellschaftspolitik, soziale Gruppen|Familie|Frauen|Jugend"
78996,"Mitglied des Ortsrates Fleestedt, Glüsingen, Beckedorf, Woxdorf, ehrenamtlich ",,Gemeinde Seevetal,,,,1677771153,,,29229,Staat und Verwaltung
108960,"Mitglied des Vorstandes, ehrenamtlich ",,Deutsch-Französisches Institut e.V. (dfi),,,,1677769964,,,29230,Außenpolitik und internationale Beziehungen
108960,Rechtsanwalt,,Rechtsanwalt - freiberuflich,,,,1677769744,,,29647,Recht
79043,"Mitglied des Kuratoriums, ehrenamtlich ",,Max-Planck-Institut für Gesellschaftsforschung,,,,1677768613,,,29230,"Gesellschaftspolitik, soziale Gruppen|Wissenschaft, Forschung und Technologie"
79043,"Mitglied des Kuratoriums, ehrenamtlich ",,CARE Deutschland e.V.,,,,1677768382,,,29230,Soziale Sicherung|Gesundheit
79043,"Vorsitzender des Kuratoriums, ehrenamtlich ",,"Nationales Zentrum für Bürokratiekostenabbau an der Fachhochschule des Mittelstandes (FHM),",,,,1677768181,,,29228,"Öffentliche Finanzen, Steuern und Abgaben"
78819,Rechtsanwalt,,Rechtsanwalt - freiberuflich,,,,1677766422,,,29647,Recht
79223,"Erste Vorsitzende des Vorstandes, ehrenamtlich",,Tierschutzverein Bayreuth und Umgebung e.V. 1876,,,,1677764705,,,29230,Umwelt
79223,Rechtsanwältin (ruhend seit 17.12.2013),,Rechtsanwältin - freiberuflich,,,,1677764502,,,29647,Recht
79411,Mitglied des Kreistages ,,Landkreis Bad Kissingen,,,,1677763193,,,29229,Staat und Verwaltung
119861,Beteiligungen ,,Naturkind Forum Kreuzberg gUG (haftungsbeschränkt),,,,1677745955,,,29231,
119861,Mitglied des Aufsichtsrates,,Universität Witten/Herdecke gemeinnützige GmbH,2,6500.0,2,1677745914,,,29228,
175416,"Mitglied des Kuratoriums der Fridtjof-Nansen-Akademie, ehrenamtlich ",,Weiterbildungszentrum Ingelheim gemeinnützige GmbH,,,,1677684134,,,29228,Bildung und Erziehung
175416,"Mitglied des Programmbeirates Antenne Mainz, ehrenamtlich ",,Radio Mainz Live Rundfunk GmbH,,,,1677684078,,,29228,"Medien, Kommunikation und Informationstechnik"
145795,Beteiligung,,AMolon UG (haftungsbeschränkt),,,,1677166953,,,29231,Wirtschaft
79133,Beteiligung,,Jens Beismann und Dr. Matthias Miersch Rechtsanwälte GbR,,,,1677162975,,,29231,Recht
79133,Beteiligung,,BERNZEN SONNTAG Rechtsanwälte Steuerberater Partnerschaftsgesellschaft mbB,,,,1677162919,,,29231,Recht
79133,"Mitglied im Kreis der Herausgeber, ehrenamtlich ",,spw-Verlag/Redaktion GmbH,,,,1677162716,,,29228,
79133,Rechtsanwalt,,Beismann Dr. Miersch Rechtsanwälte GbR,,,,1677162587,,,29647,Recht
79146,"Mitglied des Kuratoriums, ehrenamtlich (bis 14.05.2025)",,Stiftung Kinder forschen (vormals Stiftung Haus der kleinen Forscher),,,,1677161870,,,29230,"Jugend|Wissenschaft, Forschung und Technologie|Bildung und Erziehung"
79146,"Mitglied des Beirates, ehrenamtlich ",,Freundeskreis Yad Vashem e.V.,,,,1677161814,,,29230,
79146,"Mitglied des Aufsichtsrates, ehrenamtlich (bis 04.06.2025)",,RoMed Kliniken,,,,1677161657,,,29228,Gesundheit
79277,"Mitglied des Kuratoriums, ehrenamtlich (bis 15.05.2025)",,Stiftung Lesen,,,,1677160623,,,29230,Bildung und Erziehung|Kultur
79277,"Kooptiertes Mitglied des Senats, ehrenamtlich (bis 15.05.2025)",,Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,,,,1677160398,,,29230,"Wissenschaft, Forschung und Technologie|Forschung|Wirtschaft"
79277,"Mitglied des Beirates, ehrenamtlich (bis 10.06.2025)",,Between The Lines e.V.,,,,1677160192,,,29230,"Gesellschaftspolitik, soziale Gruppen"
79277,Mitglied des Lenkungskreises,,Deutsch-Französisches Zukunftswerk,,,,1677160075,,,29229,Außenpolitik und internationale Beziehungen
120254,"Vizepräsidentin, ehrenamtlich",,Deutsch-Israelische Gesellschaft e.V. (DIG),,,,1677157977,,,29230,"Gesellschaftspolitik, soziale Gruppen"
120254,"Mitglied des Vorstandes, ehrenamtlich",,Bürgerenergie Bayern e.V.,,,,1677157847,,,29230,"Energie|Gesellschaftspolitik, soziale Gruppen"
79416,"Mitglied des Kuratoriums, ehrenamtlich",,World Vision Deutschland e.V. (WVD),,,,1676913439,,,29230,Entwicklungspolitik|Humanitäre Hilfe
79416,"Vorsitzender des Vorstandes, ehrenamtlich",,Institut für Soziale Nachhaltigkeit e.V.,,,,1676913338,,,29230,"Gesellschaftspolitik, soziale Gruppen|Soziale Sicherung"
79416,Mitglied des Beirates,,BIWU Beschäftigungsinitiative Wiesloch und Umgebung e.V.,,,,1676913115,,,29230,Arbeit und Beschäftigung
125186,"Mitglied des Kuratoriums, von Amts wegen",,Deutsches Institut für Menschenrechte e.V. (DIMR),,,,1676912257,,,29230,Recht|Menschenrechte
125186,"Mitglied des Kuratoriums, von Amts wegen",,Stiftung Haus der Geschichte der Bundesrepublik Deutschland,,,,1676912173,,,29229,"Kultur|Politisches Leben, Parteien"
125186,"Mitglied des Stadtrates, ehrenamtlich",,Stadt Kronach,,,,1676912132,,,29229,Staat und Verwaltung
125186,Mitglied des Verbandsrates,,Sparkasse Kulmbach-Kronach,,,,1676911926,,,29229,Finanzen|Wirtschaft
125186,"Mitglied des Kreistages, ehrenamtlich",,Landkreis Kronach,,,,1676911816,,,29229,Staat und Verwaltung
125186,Mitglied des Kuratoriums,,Hochschule für angewandte Wissenschaften Coburg,,,,1676911763,,,29229,"Bildung und Erziehung|Wissenschaft, Forschung und Technologie"
125186,Mitglied des Beirates,,Helios Frankenwaldklinik,,,,1676904640,,,29228,Gesundheit
79446,Vizepräsident,,Deutsche Atlantische Gesellschaft e.V.,,,,1676904373,,,29230,"Außenpolitik und internationale Beziehungen|Politisches Leben, Parteien"
79446,Rechtsanwalt,,Rechtsanwalt - freiberuflich,,,,1676903970,,,29647,Recht
120205,Mitglied der Vertreterversammlung,,Raiffeisenbank Holzkirchen-Otterfing eG,,,,1676903726,,,29228,Finanzen|Wirtschaft
170325,Mitglied des Fernsehrates,,Zweites Deutsches Fernsehen (ZDF),,520.0,1,1676554914,,,29229,Kultur
170325,Mitglied des Kreistages (bis 06.05.2025),,Landkreis Nordsachsen,,,,1676554845,,,29229,Staat und Verwaltung
79023,"Mitglied des Politischen Beirates, ehrenamtlich (bis 03.09.2025)",,Wirtschaftsforum der SPD e.V.,,,,1676554670,,,29230,"Wirtschaft|Politisches Leben, Parteien"
79023,"Vorstand, ehrenamtlich",,Hermann-Scheer-Stiftung,,,,1676554492,,,29230,"Gesellschaftspolitik, soziale Gruppen"
79023,"Redaktionsmitglied der Zeitschrift für Neues Energierecht (ZNER), ehrenamtlich ",,Ponte Press Verlags-GmbH,,,,1676554038,,,29228,Medien
